31 29 7
-500 -201.415 0.725  -354.32 -201.415 0.725  -261.086 -201.415 0.725  -201.415 -201.415 0.725  -163.226 -201.415 0.725  -138.785 -201.415 0.725  -123.143 -201.415 0.725  -113.132 -201.415 0.725  -106.725 -201.415 0.725  -102.624 -201.415 0.725  -100 -201.415 0.725  -75 -201.415 0.725  -50 -201.415 0.725  -31.25 -201.415 0.725  -12.5 -201.415 0.725  6.25 -201.415 0.725  25 -201.415 0.725  43.75 -201.415 0.725  62.5 -201.415 0.725  81.25 -201.415 0.725  100 -201.415 0.725  104.714 -201.415 0.725  111.502 -201.415 0.725  121.276 -201.415 0.725  135.351 -201.415 0.725  155.619 -201.415 0.725  184.806 -201.415 0.725  226.834 -201.415 0.725  287.355 -201.415 0.725  374.504 -201.415 0.725  500 -201.415 0.725  
-500 -163.226 0.725  -354.32 -163.226 0.725  -261.086 -163.226 0.725  -201.415 -163.226 0.725  -163.226 -163.226 0.725  -138.785 -163.226 0.725  -123.143 -163.226 0.725  -113.132 -163.226 0.725  -106.725 -163.226 0.725  -102.624 -163.226 0.725  -100 -163.226 0.725  -75 -163.226 0.725  -50 -163.226 0.725  -31.25 -163.226 0.725  -12.5 -163.226 0.725  6.25 -163.226 0.725  25 -163.226 0.725  43.75 -163.226 0.725  62.5 -163.226 0.725  81.25 -163.226 0.725  100 -163.226 0.725  104.714 -163.226 0.725  111.502 -163.226 0.725  121.276 -163.226 0.725  135.351 -163.226 0.725  155.619 -163.226 0.725  184.806 -163.226 0.725  226.834 -163.226 0.725  287.355 -163.226 0.725  374.504 -163.226 0.725  500 -163.226 0.725  
-500 -138.785 0.725  -354.32 -138.785 0.725  -261.086 -138.785 0.725  -201.415 -138.785 0.725  -163.226 -138.785 0.725  -138.785 -138.785 0.725  -123.143 -138.785 0.725  -113.132 -138.785 0.725  -106.725 -138.785 0.725  -102.624 -138.785 0.725  -100 -138.785 0.725  -75 -138.785 0.725  -50 -138.785 0.725  -31.25 -138.785 0.725  -12.5 -138.785 0.725  6.25 -138.785 0.725  25 -138.785 0.725  43.75 -138.785 0.725  62.5 -138.785 0.725  81.25 -138.785 0.725  100 -138.785 0.725  104.714 -138.785 0.725  111.502 -138.785 0.725  121.276 -138.785 0.725  135.351 -138.785 0.725  155.619 -138.785 0.725  184.806 -138.785 0.725  226.834 -138.785 0.725  287.355 -138.785 0.725  374.504 -138.785 0.725  500 -138.785 0.725  
-500 -123.143 0.725  -354.32 -123.143 0.725  -261.086 -123.143 0.725  -201.415 -123.143 0.725  -163.226 -123.143 0.725  -138.785 -123.143 0.725  -123.143 -123.143 0.725  -113.132 -123.143 0.725  -106.725 -123.143 0.725  -102.624 -123.143 0.725  -100 -123.143 0.725  -75 -123.143 0.725  -50 -123.143 0.725  -31.25 -123.143 0.725  -12.5 -123.143 0.725  6.25 -123.143 0.725  25 -123.143 0.725  43.75 -123.143 0.725  62.5 -123.143 0.725  81.25 -123.143 0.725  100 -123.143 0.725  104.714 -123.143 0.725  111.502 -123.143 0.725  121.276 -123.143 0.725  135.351 -123.143 0.725  155.619 -123.143 0.725  184.806 -123.143 0.725  226.834 -123.143 0.725  287.355 -123.143 0.725  374.504 -123.143 0.725  500 -123.143 0.725  
-500 -113.132 0.725  -354.32 -113.132 0.725  -261.086 -113.132 0.725  -201.415 -113.132 0.725  -163.226 -113.132 0.725  -138.785 -113.132 0.725  -123.143 -113.132 0.725  -113.132 -113.132 0.725  -106.725 -113.132 0.725  -102.624 -113.132 0.725  -100 -113.132 0.725  -75 -113.132 0.725  -50 -113.132 0.725  -31.25 -113.132 0.725  -12.5 -113.132 0.725  6.25 -113.132 0.725  25 -113.132 0.725  43.75 -113.132 0.725  62.5 -113.132 0.725  81.25 -113.132 0.725  100 -113.132 0.725  104.714 -113.132 0.725  111.502 -113.132 0.725  121.276 -113.132 0.725  135.351 -113.132 0.725  155.619 -113.132 0.725  184.806 -113.132 0.725  226.834 -113.132 0.725  287.355 -113.132 0.725  374.504 -113.132 0.725  500 -113.132 0.725  
-500 -106.725 0.725  -354.32 -106.725 0.725  -261.086 -106.725 0.725  -201.415 -106.725 0.725  -163.226 -106.725 0.725  -138.785 -106.725 0.725  -123.143 -106.725 0.725  -113.132 -106.725 0.725  -106.725 -106.725 0.725  -102.624 -106.725 0.725  -100 -106.725 0.725  -75 -106.725 0.725  -50 -106.725 0.725  -31.25 -106.725 0.725  -12.5 -106.725 0.725  6.25 -106.725 0.725  25 -106.725 0.725  43.75 -106.725 0.725  62.5 -106.725 0.725  81.25 -106.725 0.725  100 -106.725 0.725  104.714 -106.725 0.725  111.502 -106.725 0.725  121.276 -106.725 0.725  135.351 -106.725 0.725  155.619 -106.725 0.725  184.806 -106.725 0.725  226.834 -106.725 0.725  287.355 -106.725 0.725  374.504 -106.725 0.725  500 -106.725 0.725  
-500 -102.624 0.725  -354.32 -102.624 0.725  -261.086 -102.624 0.725  -201.415 -102.624 0.725  -163.226 -102.624 0.725  -138.785 -102.624 0.725  -123.143 -102.624 0.725  -113.132 -102.624 0.725  -106.725 -102.624 0.725  -102.624 -102.624 0.725  -100 -102.624 0.725  -75 -102.624 0.725  -50 -102.624 0.725  -31.25 -102.624 0.725  -12.5 -102.624 0.725  6.25 -102.624 0.725  25 -102.624 0.725  43.75 -102.624 0.725  62.5 -102.624 0.725  81.25 -102.624 0.725  100 -102.624 0.725  104.714 -102.624 0.725  111.502 -102.624 0.725  121.276 -102.624 0.725  135.351 -102.624 0.725  155.619 -102.624 0.725  184.806 -102.624 0.725  226.834 -102.624 0.725  287.355 -102.624 0.725  374.504 -102.624 0.725  500 -102.624 0.725  
-500 -100 0.725  -354.32 -100 0.725  -261.086 -100 0.725  -201.415 -100 0.725  -163.226 -100 0.725  -138.785 -100 0.725  -123.143 -100 0.725  -113.132 -100 0.725  -106.725 -100 0.725  -102.624 -100 0.725  -100 -100 0.725  -75 -100 0.725  -50 -100 0.725  -31.25 -100 0.725  -12.5 -100 0.725  6.25 -100 0.725  25 -100 0.725  43.75 -100 0.725  62.5 -100 0.725  81.25 -100 0.725  100 -100 0.725  104.714 -100 0.725  111.502 -100 0.725  121.276 -100 0.725  135.351 -100 0.725  155.619 -100 0.725  184.806 -100 0.725  226.834 -100 0.725  287.355 -100 0.725  374.504 -100 0.725  500 -100 0.725  
-500 -75 0.725  -354.32 -75 0.725  -261.086 -75 0.725  -201.415 -75 0.725  -163.226 -75 0.725  -138.785 -75 0.725  -123.143 -75 0.725  -113.132 -75 0.725  -106.725 -75 0.725  -102.624 -75 0.725  -100 -75 0.725  -75 -75 0.725  -50 -75 0.725  -31.25 -75 0.725  -12.5 -75 0.725  6.25 -75 0.725  25 -75 0.725  43.75 -75 0.725  62.5 -75 0.725  81.25 -75 0.725  100 -75 0.725  104.714 -75 0.725  111.502 -75 0.725  121.276 -75 0.725  135.351 -75 0.725  155.619 -75 0.725  184.806 -75 0.725  226.834 -75 0.725  287.355 -75 0.725  374.504 -75 0.725  500 -75 0.725  
-500 -50 0.725  -354.32 -50 0.725  -261.086 -50 0.725  -201.415 -50 0.725  -163.226 -50 0.725  -138.785 -50 0.725  -123.143 -50 0.725  -113.132 -50 0.725  -106.725 -50 0.725  -102.624 -50 0.725  -100 -50 0.725  -75 -50 0.725  -50 -50 0.725  -31.25 -50 0.725  -12.5 -50 0.725  6.25 -50 0.725  25 -50 0.725  43.75 -50 0.725  62.5 -50 0.725  81.25 -50 0.725  100 -50 0.725  104.714 -50 0.725  111.502 -50 0.725  121.276 -50 0.725  135.351 -50 0.725  155.619 -50 0.725  184.806 -50 0.725  226.834 -50 0.725  287.355 -50 0.725  374.504 -50 0.725  500 -50 0.725  
